Compute Levels,CDF_aggregated
24.59291858,3.37E-03
24.60092018,3.40E-03
24.60892178,3.44E-03
24.61692338,3.48E-03
24.62492498,3.53E-03
24.63292659,3.56E-03
24.64092819,3.60E-03
24.64892979,3.63E-03
24.65693139,3.68E-03
24.66493299,3.72E-03
24.67293459,3.76E-03
24.68093619,3.79E-03
24.68893779,3.84E-03
24.69693939,3.88E-03
24.70494099,3.91E-03
24.71294259,3.96E-03
24.72094419,4.01E-03
24.72894579,4.06E-03
24.73694739,4.11E-03
24.74494899,4.16E-03
24.75295059,4.20E-03
24.76095219,4.24E-03
24.76895379,4.29E-03
24.77695539,4.34E-03
24.78495699,4.39E-03
24.79295859,4.44E-03
24.80096019,4.49E-03
24.80896179,4.54E-03
24.81696339,4.59E-03
24.82496499,4.64E-03
24.83296659,4.69E-03
24.84096819,4.74E-03
24.84896979,4.78E-03
24.85697139,4.83E-03
24.86497299,4.89E-03
24.87297459,4.95E-03
24.8809762,5.01E-03
24.8889778,5.05E-03
24.8969794,5.12E-03
24.904981,5.17E-03
24.9129826,5.22E-03
24.9209842,5.28E-03
24.9289858,5.33E-03
24.9369874,5.39E-03
24.944989,5.45E-03
24.9529906,5.51E-03
24.9609922,5.56E-03
24.9689938,5.61E-03
24.9769954,5.66E-03
24.984997,5.73E-03
24.9929986,5.80E-03
25.0010002,5.85E-03
25.0090018,5.90E-03
25.0170034,5.95E-03
25.025005,6.01E-03
25.0330066,6.07E-03
25.0410082,6.13E-03
25.0490098,6.19E-03
25.0570114,6.24E-03
25.065013,6.29E-03
25.0730146,6.35E-03
25.0810162,6.40E-03
25.0890178,6.46E-03
25.0970194,6.53E-03
25.105021,6.59E-03
25.1130226,6.65E-03
25.1210242,6.72E-03
25.12902581,6.79E-03
25.13702741,6.84E-03
25.14502901,6.90E-03
25.15303061,6.97E-03
25.16103221,7.02E-03
25.16903381,7.09E-03
25.17703541,7.16E-03
25.18503701,7.22E-03
25.19303861,7.29E-03
25.20104021,7.36E-03
25.20904181,7.43E-03
25.21704341,7.51E-03
25.22504501,7.57E-03
25.23304661,7.65E-03
25.24104821,7.71E-03
25.24904981,7.79E-03
25.25705141,7.86E-03
25.26505301,7.93E-03
25.27305461,8.01E-03
25.28105621,8.07E-03
25.28905781,8.15E-03
25.29705941,8.22E-03
25.30506101,8.30E-03
25.31306261,8.38E-03
25.32106421,8.46E-03
25.32906581,8.54E-03
25.33706741,8.60E-03
25.34506901,8.67E-03
25.35307061,8.76E-03
25.36107221,8.83E-03
25.36907381,8.90E-03
25.37707542,8.99E-03
25.38507702,9.05E-03
25.39307862,9.13E-03
25.40108022,9.21E-03
25.40908182,9.29E-03
25.41708342,9.36E-03
25.42508502,9.45E-03
25.43308662,9.54E-03
25.44108822,9.62E-03
25.44908982,9.70E-03
25.45709142,9.79E-03
25.46509302,9.88E-03
25.47309462,9.97E-03
25.48109622,1.01E-02
25.48909782,1.01E-02
25.49709942,1.02E-02
25.50510102,1.03E-02
25.51310262,1.03E-02
25.52110422,1.04E-02
25.52910582,1.05E-02
25.53710742,1.06E-02
25.54510902,1.07E-02
25.55311062,1.08E-02
25.56111222,1.09E-02
25.56911382,1.09E-02
25.57711542,1.10E-02
25.58511702,1.11E-02
25.59311862,1.12E-02
25.60112022,1.13E-02
25.60912182,1.14E-02
25.61712342,1.14E-02
25.62512503,1.15E-02
25.63312663,1.16E-02
25.64112823,1.17E-02
25.64912983,1.18E-02
25.65713143,1.19E-02
25.66513303,1.20E-02
25.67313463,1.21E-02
25.68113623,1.22E-02
25.68913783,1.23E-02
25.69713943,1.23E-02
25.70514103,1.24E-02
25.71314263,1.25E-02
25.72114423,1.26E-02
25.72914583,1.27E-02
25.73714743,1.28E-02
25.74514903,1.29E-02
25.75315063,1.30E-02
25.76115223,1.31E-02
25.76915383,1.32E-02
25.77715543,1.33E-02
25.78515703,1.34E-02
25.79315863,1.35E-02
25.80116023,1.36E-02
25.80916183,1.37E-02
25.81716343,1.38E-02
25.82516503,1.39E-02
25.83316663,1.40E-02
25.84116823,1.41E-02
25.84916983,1.42E-02
25.85717143,1.43E-02
25.86517303,1.44E-02
25.87317463,1.45E-02
25.88117624,1.46E-02
25.88917784,1.47E-02
